	sequences per sample	iteration	T1	TS4	T9	T2	MN15	MN12	SM2	MN13	MT213	TL1	SM4	MT210	MT209	TS6	TS8	TL2	SM5	TL3
alpha_rarefaction_5526_5.txt	5526	5	8.70335	7.7803	9.01813	9.66594	6.66736	7.03766	5.08677	5.43984	7.01029	9.29087	7.87927	4.74319	5.60276	5.98579	6.35459	9.7376	3.26268	9.21534
alpha_rarefaction_5526_6.txt	5526	6	9.1493	7.7694	8.96678	9.79025	6.85033	7.07613	5.20939	5.69601	6.95457	9.20649	7.78278	4.45791	5.75414	5.73091	6.27038	9.66385	3.00295	9.15408
alpha_rarefaction_5526_7.txt	5526	7	8.98937	7.61961	8.85905	9.42306	6.68076	7.02299	5.30613	5.45949	7.14939	9.28157	7.87303	4.96608	5.72185	5.74855	6.23839	10.10034	3.07706	9.30482
alpha_rarefaction_5526_8.txt	5526	8	9.093	7.97026	8.97091	9.61412	7.0888	7.09031	4.5614	5.73507	6.72641	9.09702	7.90943	5.04883	5.74222	5.16851	6.10941	9.71817	3.02305	9.29899
alpha_rarefaction_5526_9.txt	5526	9	9.31615	7.76871	9.00391	9.58794	6.95169	7.18813	5.03395	5.57806	6.83683	8.84715	7.81704	4.97664	5.78281	5.69923	6.1024	9.75113	3.25991	9.16483
alpha_rarefaction_6314_0.txt	6314	0	9.01882	8.14864	9.02011	9.67271	7.02339	7.3758	4.94055	5.78269	6.85714	9.19715	7.92046	5.07127	5.86024	5.54547	6.62231	9.8143	3.3242	9.20806
alpha_rarefaction_6314_1.txt	6314	1	9.24052	7.99018	8.96668	9.81438	7.13468	7.18593	4.94435	5.69518	6.93872	9.14678	7.84846	5.12192	5.79089	5.61167	6.55347	9.7544	3.4476	9.24061
alpha_rarefaction_6314_2.txt	6314	2	9.30521	7.6153	8.94355	9.76831	6.93223	7.35733	5.32629	5.65023	7.15341	9.2216	7.92714	5.10618	5.5489	6.08188	6.72778	9.63701	3.26158	9.30909
alpha_rarefaction_6314_3.txt	6314	3	9.39226	7.93056	9.29004	9.73495	7.19305	7.11339	4.94981	5.62503	6.94546	9.0777	7.91257	4.70733	5.91416	5.62823	6.66153	9.98332	3.51493	9.20935
alpha_rarefaction_6314_4.txt	6314	4	9.25656	8.19004	9.06281	9.70035	7.25334	7.21369	5.0214	5.72028	6.98018	9.17938	7.91435	5.09398	5.79734	6.03043	6.44752	9.61741	3.25389	9.35942
alpha_rarefaction_6314_5.txt	6314	5	9.34412	8.13359	8.89959	9.67879	7.21808	6.9115	5.12145	5.5997	7.03242	9.12896	7.88485	4.96757	5.91416	6.23588	6.77976	10.2341	3.36693	9.29262
alpha_rarefaction_6314_6.txt	6314	6	9.20294	8.12159	8.93085	9.72363	7.26017	6.92798	5.17015	5.46358	7.07655	9.1606	7.90342	5.12378	5.71264	5.6752	6.67456	9.97944	3.1749	9.20052
alpha_rarefaction_6314_7.txt	6314	7	9.48837	8.05391	9.13428	9.78304	7.02739	7.35684	4.89981	5.55079	7.1059	9.15193	7.72685	4.87753	5.81105	6.04485	6.71143	10.22312	3.4128	9.09649
alpha_rarefaction_6314_8.txt	6314	8	9.45835	8.18667	9.0213	9.85468	7.06194	7.19754	5.20829	5.48402	7.11669	9.29743	7.87016	4.85748	5.82014	5.99973	6.32707	9.93513	3.43349	9.33392
alpha_rarefaction_6314_9.txt	6314	9	9.1633	7.99814	9.12848	9.78842	7.05427	6.88705	4.91077	5.59176	7.0404	9.23941	7.94582	4.68258	5.6699	5.93048	6.73297	9.91896	3.48918	9.32795
alpha_rarefaction_7102_0.txt	7102	0	9.39159	8.06462	9.22628	9.73737	7.08641	7.4075	5.32629	5.70982	6.90792	9.28813	7.89611	5.21354	5.88461	6.13632	6.78969	10.25618	3.51493	9.35942
alpha_rarefaction_7102_1.txt	7102	1	9.53966	8.15495	9.14782	9.79153	7.25686	7.19529	5.32629	5.60725	7.20177	9.12136	7.94582	5.00006	5.87313	6.12301	6.71856	10.17244	3.47335	9.29449
alpha_rarefaction_7102_2.txt	7102	2	9.32813	8.20482	9.27173	9.73346	7.23	7.2981	5.32629	5.82697	7.20177	9.08591	7.9343	5.20226	5.7744	5.60315	6.7163	10.10795	3.45479	9.30087
alpha_rarefaction_7102_3.txt	7102	3	9.41058	8.05979	9.12641	9.81067	7.25413	7.4075	5.16778	5.73084	7.09447	9.30156	7.94582	5.21368	5.82014	6.10422	6.41566	10.25618	3.51493	9.31159
alpha_rarefaction_7102_4.txt	7102	4	9.37698	8.1742	9.27173	9.72197	7.02763	7.40735	5.24887	5.67458	7.17969	9.20893	7.9439	5.14753	5.90975	5.8846	6.75302	10.21734	3.40642	9.3529
alpha_rarefaction_7102_5.txt	7102	5	9.43759	8.11744	9.07572	9.80957	7.25512	7.23678	5.27695	5.82697	7.20177	9.20237	7.90786	5.02422	5.91402	5.98706	6.85119	10.25531	3.44436	9.30522
alpha_rarefaction_7102_6.txt	7102	6	9.4337	7.89325	9.30784	9.85117	7.09504	7.4075	5.0677	5.73953	7.20177	9.28813	7.85571	5.14699	5.91416	6.01379	6.69433	10.21191	3.29854	9.3308
alpha_rarefaction_7102_7.txt	7102	7	9.46037	8.1636	9.27134	9.85117	7.12878	7.33067	5.15746	5.82157	7.18146	9.11991	7.87113	5.14753	5.77162	6.10347	6.49392	10.0457	3.47298	9.34522
