	sequences per sample	iteration	T1	TS4	T9	T2	MN15	MN12	SM2	MN13	MT213	TL1	SM4	MT210	MT209	TS6	TS8	TL2	SM5	TL3
alpha_rarefaction_5526_7.txt	5526	7	22.0	16.0	12.0	17.0	30.0	16.0	15.0	20.0	13.0	17.0	16.0	17.0	14.0	24.0	23.0	19.0	8.0	12.0
alpha_rarefaction_5526_8.txt	5526	8	21.0	25.0	18.0	20.0	26.0	25.0	7.0	21.0	11.0	16.0	17.0	17.0	9.0	20.0	24.0	17.0	8.0	12.0
alpha_rarefaction_5526_9.txt	5526	9	25.0	20.0	18.0	21.0	23.0	20.0	19.0	18.0	15.0	15.0	20.0	19.0	11.0	24.0	27.0	21.0	13.0	8.0
alpha_rarefaction_6314_0.txt	6314	0	17.0	20.0	16.0	21.0	29.0	18.0	13.0	21.0	14.0	11.0	14.0	19.0	9.0	22.0	23.0	15.0	13.0	9.0
alpha_rarefaction_6314_1.txt	6314	1	21.0	22.0	19.0	25.0	25.0	18.0	13.0	19.0	11.0	15.0	17.0	25.0	12.0	16.0	26.0	19.0	14.0	6.0
alpha_rarefaction_6314_2.txt	6314	2	25.0	16.0	14.0	26.0	25.0	18.0	15.0	18.0	11.0	10.0	19.0	18.0	9.0	26.0	26.0	18.0	13.0	12.0
alpha_rarefaction_6314_3.txt	6314	3	21.0	19.0	19.0	25.0	23.0	21.0	14.0	17.0	18.0	11.0	16.0	21.0	13.0	21.0	20.0	20.0	13.0	9.0
alpha_rarefaction_6314_4.txt	6314	4	27.0	19.0	12.0	21.0	30.0	21.0	16.0	19.0	10.0	11.0	15.0	18.0	7.0	26.0	23.0	17.0	14.0	11.0
alpha_rarefaction_6314_5.txt	6314	5	23.0	21.0	17.0	19.0	26.0	23.0	12.0	17.0	11.0	11.0	15.0	19.0	13.0	22.0	22.0	23.0	12.0	8.0
alpha_rarefaction_6314_6.txt	6314	6	21.0	23.0	15.0	21.0	29.0	18.0	16.0	15.0	13.0	13.0	16.0	21.0	12.0	19.0	25.0	24.0	7.0	14.0
alpha_rarefaction_6314_7.txt	6314	7	24.0	27.0	14.0	22.0	29.0	16.0	10.0	18.0	14.0	11.0	13.0	19.0	12.0	23.0	25.0	27.0	14.0	7.0
alpha_rarefaction_6314_8.txt	6314	8	23.0	22.0	16.0	27.0	27.0	20.0	14.0	18.0	15.0	12.0	16.0	21.0	11.0	24.0	22.0	21.0	12.0	10.0
alpha_rarefaction_6314_9.txt	6314	9	18.0	18.0	16.0	24.0	29.0	13.0	13.0	20.0	14.0	11.0	19.0	21.0	9.0	21.0	26.0	20.0	14.0	11.0
alpha_rarefaction_7102_0.txt	7102	0	21.0	20.0	14.0	21.0	26.0	21.0	14.0	18.0	9.0	10.0	13.0	20.0	12.0	26.0	22.0	21.0	14.0	11.0
alpha_rarefaction_7102_1.txt	7102	1	23.0	17.0	18.0	20.0	28.0	15.0	15.0	18.0	12.0	9.0	19.0	19.0	11.0	24.0	21.0	20.0	11.0	7.0
alpha_rarefaction_7102_2.txt	7102	2	18.0	21.0	14.0	24.0	28.0	17.0	13.0	20.0	13.0	12.0	13.0	21.0	11.0	18.0	22.0	20.0	11.0	10.0
alpha_rarefaction_7102_3.txt	7102	3	24.0	19.0	16.0	21.0	29.0	22.0	12.0	16.0	14.0	11.0	16.0	23.0	11.0	22.0	23.0	22.0	15.0	8.0
alpha_rarefaction_7102_4.txt	7102	4	20.0	20.0	16.0	18.0	30.0	20.0	11.0	18.0	13.0	12.0	15.0	21.0	11.0	24.0	25.0	20.0	11.0	11.0
alpha_rarefaction_7102_5.txt	7102	5	21.0	20.0	11.0	21.0	30.0	20.0	12.0	22.0	12.0	9.0	13.0	19.0	11.0	22.0	26.0	22.0	13.0	10.0
alpha_rarefaction_7102_6.txt	7102	6	18.0	17.0	17.0	24.0	28.0	19.0	13.0	20.0	13.0	11.0	13.0	18.0	12.0	23.0	22.0	21.0	10.0	9.0
alpha_rarefaction_7102_7.txt	7102	7	20.0	20.0	17.0	24.0	30.0	20.0	12.0	20.0	13.0	12.0	14.0	22.0	12.0	24.0	21.0	20.0	14.0	8.0
alpha_rarefaction_7102_8.txt	7102	8	19.0	16.0	17.0	21.0	29.0	18.0	12.0	20.0	13.0	9.0	16.0	20.0	12.0	22.0	22.0	20.0	11.0	9.0
alpha_rarefaction_7102_9.txt	7102	9	23.0	23.0	14.0	22.0	27.0	19.0	13.0	20.0	9.0	12.0	17.0	19.0	11.0	23.0	19.0	23.0	14.0	9.0
alpha_rarefaction_7890_0.txt	7890	0	20.0	19.0	15.0	21.0	28.0	18.0	13.0	20.0	11.0	10.0	14.0	21.0	12.0	24.0	22.0	21.0	13.0	10.0
alpha_rarefaction_7890_1.txt	7890	1	20.0	19.0	15.0	21.0	28.0	18.0	13.0	20.0	11.0	10.0	14.0	21.0	12.0	24.0	23.0	21.0	13.0	10.0
alpha_rarefaction_7890_2.txt	7890	2	20.0	19.0	15.0	21.0	28.0	18.0	13.0	20.0	11.0	10.0	14.0	21.0	12.0	24.0	22.0	20.0	13.0	10.0
alpha_rarefaction_7890_3.txt	7890	3	20.0	19.0	15.0	21.0	28.0	18.0	13.0	20.0	11.0	10.0	14.0	21.0	12.0	24.0	22.0	21.0	13.0	10.0
alpha_rarefaction_7890_4.txt	7890	4	20.0	19.0	15.0	23.0	28.0	18.0	13.0	20.0	11.0	10.0	14.0	21.0	12.0	23.0	22.0	21.0	13.0	10.0
alpha_rarefaction_7890_5.txt	7890	5	20.0	19.0	15.0	21.0	28.0	18.0	13.0	20.0	11.0	10.0	14.0	21.0	12.0	24.0	22.0	21.0	13.0	10.0
alpha_rarefaction_7890_6.txt	7890	6	20.0	19.0	15.0	22.0	28.0	18.0	13.0	20.0	11.0	10.0	14.0	21.0	12.0	24.0	22.0	21.0	13.0	10.0
alpha_rarefaction_7890_7.txt	7890	7	20.0	19.0	15.0	21.0	28.0	18.0	13.0	20.0	11.0	10.0	14.0	21.0	12.0	24.0	21.0	21.0	13.0	10.0
alpha_rarefaction_7890_8.txt	7890	8	20.0	19.0	15.0	21.0	28.0	18.0	13.0	20.0	11.0	10.0	14.0	21.0	12.0	24.0	22.0	21.0	13.0	10.0
alpha_rarefaction_7890_9.txt	7890	9	20.0	19.0	15.0	21.0	28.0	18.0	13.0	20.0	11.0	10.0	14.0	21.0	12.0	24.0	22.0	21.0	13.0	10.0
