taxonomy	S1_S1	S2_S3	S3_S5	S4_S7
p__Planctomycetes_unclassified	8	7	8	7
c__Alphaproteobacteria_unclassified	122	120	55	321
o__BD7-3_unclassified	2	2	0	2
f__Caulobacteraceae_unclassified	7	8	1	2
g__Asticcacaulis_unclassified	0	3	0	1
g__Brevundimonas_unclassified	0	0	0	1
s__vibrioides	0	1	0	0
s__hamadaniensis	1	0	0	0
g__Phenylobacterium_unclassified	13	8	0	16
o__Ellin329_unclassified	34	23	0	61
s__xiamenensis	0	0	1	2
s__gwangyangensis	0	0	0	1
f__Aurantimonadaceae_unclassified	1	0	0	0
f__Beijerinckiaceae_unclassified	4	0	0	2
g__Chelatococcus_unclassified	1	0	0	0
f__Bradyrhizobiaceae_unclassified	84	37	0	27
s__broomeae	3	0	0	3
g__Balneimonas_unclassified	4	4	0	0
g__Bradyrhizobium_unclassified	23	5	0	9
f__Hyphomicrobiaceae_unclassified	15	6	0	14
g__Devosia_unclassified	5	5	0	6
g__Hyphomicrobium_unclassified	4	2	0	15
g__Parvibaculum_unclassified	0	0	0	1
g__Pedomicrobium_unclassified	14	5	0	3
s__vannielii	2	2	0	1
g__Rhodoplanes_unclassified	384	133	2	84
f__Methylobacteriaceae_unclassified	0	1	0	0
g__Methylobacterium_unclassified	1	1	0	0
f__Methylocystaceae_unclassified	0	1	0	0
g__Methylosinus_unclassified	0	1	0	14
s__oryzae	0	0	0	2
g__Rhodoblastus_unclassified	1	0	0	2
f__Phyllobacteriaceae_unclassified	0	0	1	1
g__Chelativorans_unclassified	0	0	0	2
g__Mesorhizobium_unclassified	3	1	0	0
f__Rhizobiaceae_unclassified	2	1	0	5
g__Agrobacterium_unclassified	1	1	0	2
g__Rhizobium_unclassified	7	0	0	1
g__Afifella_unclassified	2	0	0	3
f__Xanthobacteraceae_unclassified	5	3	0	0
g__Labrys_unclassified	1	5	0	0
g__Xanthobacter_unclassified	0	1	0	0
o__Rhizobiales_unclassified	460	198	8	204
f__Hyphomonadaceae_unclassified	2	0	0	7
g__Henriciella_unclassified	1	0	0	0
s__maritima	1	2	0	5
f__Rhodobacteraceae_unclassified	6	0	59	51
g__Rhodobacter_unclassified	1	0	0	1
g__Rhodovulum_unclassified	0	0	0	1
g__Thioclava_unclassified	0	0	1	0
o__Rhodobacterales_unclassified	0	0	0	6
f__Acetobacteraceae_unclassified	20	16	1	42
g__Acidisoma_unclassified	1	0	0	0
s__globiformis	0	1	0	0
g__Roseomonas_unclassified	2	0	0	1
f__Rhodospirillaceae_unclassified	193	109	3	175
g__Azospirillum_unclassified	0	2	0	0
s__bisanense	0	0	1	2
s__mobilis	4	1	0	4
g__Magnetospirillum_unclassified	0	0	0	4
g__Rhodovibrio_unclassified	0	0	4	1
s__siberiense	0	1	0	0
o__Rhodospirillales_unclassified	78	58	2	101
g__Rickettsia_unclassified	0	1	0	0
f__mitochondria_unclassified	1	1	1	14
o__Rickettsiales_unclassified	1	0	0	1
f__Erythrobacteraceae_unclassified	4	1	2	37
s__ramosum	0	0	0	1
f__Sphingomonadaceae_unclassified	45	32	1	151
g__Kaistobacter_unclassified	87	76	0	48
g__Novosphingobium_unclassified	5	3	0	11
g__Sphingobium_unclassified	2	0	0	0
g__Sphingomonas_unclassified	5	5	0	10
o__Sphingomonadales_unclassified	4	4	1	24
c__Betaproteobacteria_unclassified	267	271	9	413
f__EB1003_unclassified	22	92	0	24
f__UD5_unclassified	6	1	0	0
f__Alcaligenaceae_unclassified	1	1	1	1
f__Burkholderiaceae_unclassified	1	0	1	0
g__Burkholderia_unclassified	16	8	0	10
s__gigasporarum	0	1	0	0
f__Comamonadaceae_unclassified	64	89	1	46
g__Acidovorax_unclassified	0	3	0	0
s__tertiaricarbonis	1	1	0	0
g__Azohydromonas_unclassified	1	0	0	3
s__denitrificans	0	0	0	1
g__Hydrogenophaga_unclassified	0	0	0	1
g__Leptothrix_unclassified	1	0	0	0
s__petroleiphilum	6	7	0	3
s__puraquae	0	1	0	1
g__Ramlibacter_unclassified	7	4	0	5
s__cuprina	0	0	0	2
f__Oxalobacteraceae_unclassified	6	12	0	2
g__Cupriavidus_unclassified	8	2	0	1
s__nigrescens	3	5	0	0
g__Massilia_unclassified	2	6	0	1
s__lemoignei	1	0	0	0
g__Ralstonia_unclassified	1	0	0	0
o__Burkholderiales_unclassified	7	5	0	9
o__Ellin6067_unclassified	62	101	0	62
g__Gallionella_unclassified	1	0	0	3
g__Thiobacillus_unclassified	0	0	0	21
o__IS-44_unclassified	5	0	0	1
o__MND1_unclassified	212	261	0	132
g__Methylobacillus_unclassified	0	0	0	1
g__Methylotenera_unclassified	0	0	1	1
f__Neisseriaceae_unclassified	2	0	0	4
g__Chromobacterium_unclassified	2	0	0	0
g__Deefgea_unclassified	1	0	0	0
f__Nitrosomonadaceae_unclassified	2	0	0	1
s__tenuis	1	0	0	0
f__Procabacteriaceae_unclassified	0	1	0	1
f__Rhodocyclaceae_unclassified	10	13	0	114
g__Azoarcus_unclassified	2	0	0	0
g__C39_unclassified	0	1	0	2
g__Dechloromonas_unclassified	1	2	0	3
s__indolicum	0	0	0	1
g__Dok59_unclassified	2	4	0	13
s__toluolica	0	0	0	1
g__Sterolibacterium_unclassified	0	0	0	1
o__SBla14_unclassified	0	1	0	21
o__SC-I-84_unclassified	79	89	0	30
c__Deltaproteobacteria_unclassified	118	131	118	149
o__BPC076_unclassified	0	7	2	17
g__Bdellovibrio_unclassified	10	8	1	18
f__Desulfarculaceae_unclassified	1	1	71	3
g__Desulfarculus_unclassified	0	0	1	0
f__Desulfobacteraceae_unclassified	0	0	18	0
g__Desulfococcus_unclassified	0	0	6	0
s__propionicica	0	0	340	1
f__Desulfobulbaceae_unclassified	1	0	5	4
